Id,Label,timeset,topgenre,Degree,modularity_class,componentnumber
284,David Strathairn,,Drama,6,6,0
326,Evan Rachel Wood,,Drama,6,6,0
328,Joe Anderson,,Drama,6,6,0
329,Dana Fuchs,,Drama,3,6,0
364,Liv Tyler,,Action,9,6,0
420,Scott Speedman,,Horror,3,6,0
421,Gemma Ward,,Horror,3,6,0
422,Alex Fisher,,Horror,3,6,0
424,Golshifteh Farahani,,Drama,6,6,0
428,Colin Farrell,,Comedy,18,6,0
429,Elizabeth Berrington,,Comedy,3,6,0
452,Rebecca Hall,,Drama,18,6,0
453,Christopher Evan Welch,,Drama,3,6,0
469,Natalie Portman,,Drama,22,6,0
529,Michael Gambon,,Adventure,3,6,0
538,Joseph Gordon-Levitt,,Drama,27,6,0
541,Michael Nyqvist,,Thriller,9,6,0
543,Ewa Froling,,Drama,3,6,0
544,Lena Endre,,Drama,3,6,0
615,Mary Elizabeth Winstead,,Comedy,9,6,0
616,Kieran Culkin,,Action,3,6,0
617,Alison Pill,,Action,3,6,0
722,Rainn Wilson,,Comedy,3,6,0
723,Kevin Bacon,,Comedy,6,6,0
736,Penelope Cruz,,Comedy,12,6,0
739,Chris Hemsworth,,Action,27,6,0
740,Tom Hiddleston,,Fantasy,10,6,0
803,Ashton Kutcher,,Comedy,3,6,0
804,Kevin Kline,,Comedy,3,6,0
805,Cary Elwes,,Comedy,3,6,0
859,Kristen Connolly,,Horror,3,6,0
860,Anna Hutchison,,Horror,6,6,0
861,Fran Kranz,,Horror,3,6,0
862,Sally Field,,Drama,6,6,0
925,Woody Allen,,Comedy,3,6,0
966,Daniel Bruhl,,Drama,12,6,0
967,Alexandra Maria Lara,,Action,3,6,0
1050,Juno Temple,,Drama,3,6,0
1051,Max Minghella,,Drama,6,6,0
1057,Zoe Kazan,,Comedy,3,6,0
1058,Megan Park,,Comedy,3,6,0
1059,Adam Driver,,Drama,12,6,0
1083,Alfie Allen,,Action,3,6,0
1340,Richenda Carey,,Drama,3,6,0
1359,Jeffrey Dean Morgan,,Crime,3,6,0
1415,Callum Keith Rennie,,Drama,3,6,0
1419,Andrea Whitburn,,Action,3,6,0
1420,Jennifer Koenig,,Action,3,6,0
1421,Michael Dickson,,Action,3,6,0
1618,Nellie,,Comedy,3,6,0
1619,Rizwan Manji,,Comedy,3,6,0
1699,Antonia Ribero,,Adventure,3,6,0
1754,Tracy Letts,,Drama,6,6,0
1755,Sam Trammell,,Crime,3,6,0
1909,Michael C. Hall,,Biography,3,6,0
1910,Maria Dizzia,,Biography,3,6,0
43,Channing Tatum,,Comedy,33,7,0
44,Jenna Dewan Tatum,,Drama,5,7,0
